"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"8208",71,"Iron",18,535,179,356,178,348,0,1,0,1,1,0,0,0,0,2,0,6,526,1,1,1,0,2,6
"8418",73,"Isabella",0,69872,33961,35911,29935,31617,893,971,588,689,1453,1424,9,23,1438,1451,1083,1187,61552,1864,1277,2877,32,2889,2270
"8435",73,"Isabella",17,1112,478,634,457,610,5,4,4,8,10,9,0,0,7,5,2,3,1067,9,12,19,0,12,5
"8436",73,"Isabella",18,1048,323,725,314,715,4,4,3,3,2,1,0,0,0,4,0,2,1029,8,6,3,0,4,2
"8646",75,"Jackson",0,158510,81003,77507,69832,69029,7830,5084,667,786,403,281,44,42,3065,2710,2227,2285,138861,12914,1453,684,86,5775,4512
"8663",75,"Jackson",17,3272,1408,1864,1341,1775,31,61,19,10,4,2,0,0,23,24,13,16,3116,92,29,6,0,47,29
"8664",75,"Jackson",18,3456,1246,2210,1188,2121,41,73,4,9,3,1,0,0,29,31,10,6,3309,114,13,4,0,60,16
"8874",77,"Kalamazoo",0,265066,129606,135460,105372,109824,15226,16116,3619,3867,718,696,81,71,6955,6868,4590,4886,215196,31342,7486,1414,152,13823,9476
"8891",77,"Kalamazoo",17,4532,1878,2654,1730,2461,99,128,24,32,6,13,0,1,32,44,19,19,4191,227,56,19,1,76,38
"8892",77,"Kalamazoo",18,5271,1782,3489,1660,3237,92,202,27,25,2,6,0,0,18,21,1,19,4897,294,52,8,0,39,20
"9102",79,"Kalkaska",0,18038,9220,8818,8789,8454,84,46,50,54,91,88,2,2,205,188,204,174,17243,130,104,179,4,393,378
"9119",79,"Kalkaska",17,418,212,206,209,204,0,0,0,0,1,1,0,0,2,2,2,1,413,0,0,2,0,4,3
"9120",79,"Kalkaska",18,257,100,157,98,151,0,1,1,3,1,1,0,0,0,3,0,1,249,1,4,2,0,3,1
"9330",81,"Kent",0,656955,324063,332892,266497,273653,34370,35225,10568,11359,2451,2400,301,250,36245,34995,9876,10005,540150,69595,21927,4851,551,71240,19881
"9347",81,"Kent",17,10454,4322,6132,3995,5576,203,400,91,105,10,20,3,2,121,150,20,29,9571,603,196,30,5,271,49
"9348",81,"Kent",18,11992,4338,7654,4105,7188,162,349,54,82,1,6,4,2,116,172,12,27,11293,511,136,7,6,288,39
"9558",83,"Keweenaw",0,2116,1082,1034,1061,997,2,6,0,2,3,5,0,0,14,22,16,24,2058,8,2,8,0,36,40
"9575",83,"Keweenaw",17,85,46,39,45,39,0,0,0,0,0,0,0,0,1,1,1,0,84,0,0,0,0,2,1
"9576",83,"Keweenaw",18,63,25,38,23,37,0,0,0,1,0,0,0,0,0,0,2,0,60,0,1,0,0,0,2
"9786",85,"Lake",0,11853,5988,5865,5282,5131,469,475,10,29,45,60,1,1,143,150,181,169,10413,944,39,105,2,293,350
"9803",85,"Lake",17,428,226,202,204,182,16,15,2,3,3,1,0,0,2,0,1,1,386,31,5,4,0,2,2
"9804",85,"Lake",18,307,147,160,132,134,10,18,1,2,1,2,0,0,6,4,3,4,266,28,3,3,0,10,7
"10014",87,"Lapeer",0,87607,44424,43183,42456,41734,864,197,232,360,241,216,7,6,2109,2021,624,670,84190,1061,592,457,13,4130,1294
"10031",87,"Lapeer",17,1819,846,973,835,956,1,2,3,0,1,5,0,0,9,22,6,10,1791,3,3,6,0,31,16
"10032",87,"Lapeer",18,1520,541,979,534,964,2,2,2,3,1,1,0,0,7,5,2,9,1498,4,5,2,0,12,11
"10242",89,"Leelanau",0,21761,10721,11040,10029,10207,71,94,61,77,371,404,6,7,492,488,183,251,20236,165,138,775,13,980,434
"10259",89,"Leelanau",17,806,405,401,400,392,0,2,0,2,4,4,0,0,0,7,1,1,792,2,2,8,0,7,2
"10260",89,"Leelanau",18,808,323,485,318,472,2,2,0,0,1,5,0,0,3,3,2,6,790,4,0,6,0,6,8
"10470",91,"Lenawee",0,98451,49712,48739,46005,46260,2086,823,197,294,343,275,31,14,4117,3932,1050,1073,92265,2909,491,618,45,8049,2123
"10487",91,"Lenawee",17,2192,902,1290,875,1256,8,12,2,8,7,5,1,1,29,41,9,8,2131,20,10,12,2,70,17
"10488",91,"Lenawee",18,2141,764,1377,748,1351,3,6,3,7,2,4,1,1,34,53,7,8,2099,9,10,6,2,87,15
"10698",93,"Livingston",0,191995,96195,95800,92735,92301,765,534,761,1126,500,427,55,61,2483,2414,1379,1351,185036,1299,1887,927,116,4897,2730
"10715",93,"Livingston",17,3506,1601,1905,1565,1864,6,4,15,18,7,10,1,0,17,16,7,9,3429,10,33,17,1,33,16
"10716",93,"Livingston",18,3389,1242,2147,1216,2119,7,4,12,18,5,3,0,0,24,18,2,3,3335,11,30,8,0,42,5
"10926",95,"Luce",0,6229,3710,2519,2653,2231,738,10,10,5,173,173,0,4,59,48,136,96,4884,748,15,346,4,107,232
"10943",95,"Luce",17,199,96,103,88,96,0,0,0,0,4,7,0,0,0,3,4,0,184,0,0,11,0,3,4
"10944",95,"Luce",18,163,64,99,64,90,0,0,0,0,0,7,0,0,0,1,0,2,154,0,0,7,0,1,2
"11154",97,"Mackinac",0,10799,5487,5312,4053,3940,202,175,52,44,903,875,2,0,102,111,275,278,7993,377,96,1778,2,213,553
"11171",97,"Mackinac",17,373,178,195,163,167,0,2,0,1,10,18,0,0,0,5,5,7,330,2,1,28,0,5,12
"11172",97,"Mackinac",18,326,114,212,109,201,0,1,0,0,3,9,0,0,2,2,2,1,310,1,0,12,0,4,3
"11382",99,"Macomb",0,873972,425615,448357,345126,356426,50103,59978,18118,19079,1355,1557,149,143,12325,11759,10764,11174,701552,110081,37197,2912,292,24084,21938
"11399",99,"Macomb",17,18130,7258,10872,6770,10136,251,452,184,224,9,18,2,1,65,108,42,41,16906,703,408,27,3,173,83
"11400",99,"Macomb",18,19403,6481,12922,6161,12204,148,439,144,191,1,24,0,1,87,140,27,63,18365,587,335,25,1,227,90
"11610",101,"Manistee",0,24558,12662,11896,11261,11224,771,70,41,58,297,265,6,8,419,441,286,271,22485,841,99,562,14,860,557
"11627",101,"Manistee",17,748,346,402,340,390,0,1,0,0,3,3,0,0,3,4,3,8,730,1,0,6,0,7,11
"11628",101,"Manistee",18,714,284,430,276,420,1,2,0,0,5,8,0,0,5,1,2,0,696,3,0,13,0,6,2
"11838",103,"Marquette",0,66699,33570,33129,31026,31131,948,219,163,409,669,651,10,11,545,507,754,708,62157,1167,572,1320,21,1052,1462
"11855",103,"Marquette",17,1538,693,845,677,819,0,2,7,5,5,8,0,0,3,5,4,11,1496,2,12,13,0,8,15
